integrante_id;nombre;fecha_nac;vive
1;Luis Alberto Spinetta;1950-01-23;0
2;Edelmiro Molinari;1947-07-08;1
3;Emilio del Guercio;1950-04-12;1
4;Rodolfo García;1946-02-23;0
5;Black Amaya;1950-08-20;1
6;Carlos Cutaia;1941-11-04;1
7;David Oscar Lebón;1952-10-05;1
8;Osvaldo Frascino;1950-11-05;1
9;Pedro Aznar;1959-07-23;1
10;Hector Lorenzo;1950-09-24;1
11;Diego Rapoport;1948-11-22;0
12;Beto Satragni;1955-08-27;0
13;Juan del Barrio;1957-06-14;1
14;Frank Ojstersek;1955-08-01;1
15;Leo Sujatovich;1960-03-24;1
16;César Franov;1965-07-30;1
17;Juan Carlos Fontana;1959-11-08;1
18;Lito Epumer;1954-04-18;1
19;Lito Vitale;1961-12-01;1
20;Paul Dourge;1961-01-15;1
21;Carlos Alberto Rufino;1947-11-12;1
22;Tomas Gubtisch;1957-06-27;1
23;Marcelo Torres;1960-05-12;1
24;Daniel Wirzt ;1975-01-027;0
