genero_album_id;album_id;genero_id
1;1;3
2;2;2
3;2;3
4;3;3
5;4;2
6;4;3
7;5;2
8;5;3
9;5;7
10;6;2
11;6;3
12;6;7
13;7;2
14;7;3
15;7;12
16;8;2
17;8;3
18;9;2
19;9;3
20;10;2
21;11;4
22;11;13
23;12;2
24;12;3
25;13;2
26;13;3
27;14;15
28;14;16
29;15;11
30;16;3
31;16;17
32;16;5
33;16;16
34;17;2
35;17;3
36;18;2
37;19;1
38;20;4
39;20;5
40;20;3
41;20;18
42;21;3
43;22;3
44;23;5
45;23;19
46;24;3
47;25;7
48;25;2
49;25;3
50;26;2
51;26;3
52;27;2
53;27;3
54;28;2
55;28;3
56;29;2
57;29;3
58;29;7
